State_Code,Issuer_Id,Issuer_Name,Source_Name,Import_Date,Market_Coverage,ServiceArea_Id,Is_New_Plan,Plan_Type,Metal_Level,Notice_Pregnancy,Referral_Required,EHBPercent_TotalPremium,Out_Country_Coverage,Out_ServiceArea_Coverage,MedDrug_Deductibles_Int,MedDrug_Max_OOP_Int,HSA_Eligibility
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Gold,No,No,0.9928,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Gold,No,No,0.9928,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Gold,No,No,0.9928,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Silver,No,No,0.9937,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Silver,No,No,0.9937,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Silver,No,No,0.9937,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Silver,No,No,0.9937,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Silver,No,No,0.9937,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Silver,No,No,0.9937,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Expanded Bronze,No,No,0.9904,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Expanded Bronze,No,No,0.9904,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Expanded Bronze,No,No,0.9904,Yes,Yes,Yes,Yes,No
AK,38344,Premera Blue Cross Blue Shield of Alaska,HIOS,10-01-2025,Individual,AKS001,Existing,PPO,Expanded Bronze,No,No,0.9988,Yes,Yes,Yes,Yes,Yes
